title,author
The House of the Dead,Fyodor Dostoevsky
Discipline and Punish,Michel Foucault
The Island of the Day Before,Umberto Eco
De Profundis,Oscar Wilde
The Sun Also Rises,Ernest Hemingway
Death on the Nile,Agatha Christie
A Rose for Emily,William Faulkner
An Enquiry Concerning the Principles of Morals,David Hume
Catch-22,Joseph Heller
Introduction to Metaphysics,Martin Heidegger
The Selfish Giant,Oscar Wilde
The House of the Spirits,Isabel Allende
Book of Poems,Federico García Lorca
She Came to Stay,Simone de Beauvoir
Ecce Homo,Friedrich Nietzsche
Persuasion,Jane Austen
Humiliated and Insulted,Fyodor Dostoevsky
David Copperfield,Charles Dickens
Harry Potter and the Cursed Child,J.K. Rowling
The Birth of Biopolitics,Michel Foucault
Kig Lear,William Shakespeare
The Contemplations,Victor Hugo
The World,RenÃ© Descartes
The Innocents Abroad,Mark Twain
The Mist,Stephen King
White Nights,Fyodor Dostoevsky
Theories of Surplus Value,Karl Marx
No One Writes to the Colonel,Gabriel García Márquez
The Communist Manifesto,Karl Marx
Mrs Dalloway,Virginia Woolf
L'IngÃ©nu,Voltaire
Childhood,Lev Tolstoi
Numero Zero,Umberto Eco
The Coming of Age,Simone de Beauvoir
Memoirs of a Dutiful Daughter,Simone de Beauvoir
Encyclopedia of the Philosophical Sciences,Hegel
Letter to His Father,Franz Kafka
Three Guineas,Virginia Woolf
A Room of One's Own,Virginia Woolf
Light in August,William Faulkner
For Whom the Bell Tolls,Ernest Hemingway
What Is Metaphysics?,Martin Heidegger
Rememberance of Things Past,Marcel Proust
In the fog,Hermann Hesse
The Tall Grass,Stephen King
A Theory of Semiotics,Umberto Eco
Like the Flowing River,Paulo Coelho
Society Must Be Defended,Michel Foucault
In Search of Duende,Federico García Lorca
Crooked House,Agatha Christie
Frankenstein,Mary Shelley
Murder on the Orient Express,Agatha Christie
Sanctuary,William Faulkner
Protagoras,Plato
A Manual for Manuel,Julio Cortázar
What Men Live By,Lev Tolstoi
The Hermeneutics of the Subject,Michel Foucault
The Alchemist,Paulo Coelho
The History of England,David Hume
Letter on Humanism,Martin Heidegger
Phaedrus,Plato
The Dialogue of Two Snails,Federico García Lorca
Harry Potter and the Prisoner of Azkaban,J.K. Rowling
Lectures on Aesthetics,Hegel
Animal Farm,George Orwell
Hopscotch,Julio Cortázar
The Mysterious Flame of Queen Loana,Umberto Eco
A Philosophical Dictionary,Voltaire
The Aleph,Jorge Luis Borges
To Kill a Mockingbird,Harper Lee
"Four Tragedies: Ajax, Women of Trachis, Electra, Philoctetes",Sophocles
A Moveable Feast,Ernest Hemingway
Eleven Minutes,Paulo Coelho
Bestiary,Julio Cortázar
Aias,Sophocles
Twenty Thousand Leagues Under the Sea,Jules Verne
Grundrisse,Karl Marx
Pride and Prejudice,Jane Austen
The Metamorphosis,Franz Kafka
The Ethics of Ambiguity,Simone de Beauvoir
Power,Michel Foucault
Theses on Feuerbach,Karl Marx
Unreasonable Hours,Julio Cortázar
Resurrection,Lev Tolstoi
Julius Caesar,William Shakespeare
The Great Gatsby,F.Scott Fitzgerald
The German Ideology,Karl Marx
Death in the Afternoon,Ernest Hemingway
Letters to Milena,Franz Kafka
A Treatise of Human Nature,David Hume
Antigone,Sophocles
The Woman Destroyed,Simone de Beauvoir
MicromÃ©gas,Voltaire
How to Write a Thesis,Umberto Eco
The Sorrows of Young Werther,Johann Wolfgang von Goethe
Topics,Aristotle
Oedipus the King,Sophocles
Gertrud,Hermann Hesse
One Hundred Years of Solitude,Gabriel Garcí­a Márquez
Romeo and Juliet,William Shakespeare
Anna Karenina,Lev Tolstoi
The Man Who Laughs,Victor Hugo
Rhetoric,Aristotle
Harry Potter and the Goblet of Fire,J.K. Rowling
The Old Man and the Sea,Ernest Hemingway
"Human, All Too Human",Friedrich Nietzsche
The Shining,Stephen King
Adventures of Huckleberry Finn,Mark Twain
Capital: Volume II,Karl Marx
Absolute Spirit,Hegel
The Prisoner,Marcel Proust
Phaedo,Plato
The Castle,Franz Kafka
Discourse on the Method,RenÃ© Descartes
The Second Sex,Simone de Beauvoir
Science of Logic,Hegel
Oliver Twist,Charles Dickens
Poetics,Aristotle
A Journey to the Centre of the Earth,Jules Verne
The Nightingale and the Rose,Oscar Wilde
The Gay Science,Friedrich Nietzsche
Sense and Sensibility,Jane Austen
The Prague Cemetery,Umberto Eco
Romancero gitano,Federico García Lorca
Swann's Way,Marcel Proust
Harry Potter and the Deathly Hallows,J.K. Rowling
The Merchant of Venice,William Shakespeare
Emma,Jane Austen
The Winter's Tale,William Shakespeare
Siddhartha,Hermann Hesse
The Secret Weapons,Julio Cortázar
A Floating City,Jules Verne
